            ASDEX Upgrade toroidal field coils         
            ----------------------------------         
 main_symmetry:              'stellarator symmetry'    
 number of possible periods:  np_mpos                  
                                5                      
 possible period numbers:     mpo(i=1,np_mpos)         
                                1   2   4   8   16     
    nspul_main    iseg_main   np_main                  
         4            106             16     
x [m]           y [m]             z [m]           I [MA]
 1.957445    -0.006000     1.598691     0.300000    
 1.875100    -0.006000     1.627112     0.300000    
 1.875247    -0.006000     1.627057     0.300000    
 1.786225    -0.006000     1.650914     0.300000    
 1.695716    -0.006000     1.667703     0.300000    
 1.604194    -0.006000     1.677353     0.300000    
 1.512205    -0.006000     1.679808     0.300000    
 1.512399    -0.006000     1.679810     0.300000    
 1.435683    -0.006000     1.675838     0.300000    
 1.359681    -0.006000     1.665871     0.300000    
 1.284676    -0.006000     1.649960     0.300000    
 1.211122    -0.006000     1.628196     0.300000    
 1.211447    -0.006000     1.628325     0.300000    
 1.132102    -0.006000     1.596707     0.300000    
 1.056659    -0.006000     1.557047     0.300000    
 0.985771    -0.006000     1.509710     0.300000    
 0.986048    -0.006000     1.509936     0.300000    
 0.903827    -0.006000     1.437821     0.300000    
 0.834138    -0.006000     1.353854     0.300000    
 0.834460    -0.006000     1.354342     0.300000    
 0.784932    -0.006000     1.270864     0.300000    
 0.749159    -0.006000     1.180692     0.300000    
 0.749252    -0.006000     1.181087     0.300000    
 0.730037    -0.006000     1.096822     0.300000    
 0.723590    -0.006000     1.010510     0.300000    
 0.723590    -0.006000    -1.010510     0.300000    
 0.730037    -0.006000    -1.096822     0.300000    
 0.749252    -0.006000    -1.181087     0.300000    
 0.749159    -0.006000    -1.180692     0.300000    
 0.784932    -0.006000    -1.270864     0.300000    
 0.834460    -0.006000    -1.354342     0.300000    
 0.834138    -0.006000    -1.353854     0.300000    
 0.903827    -0.006000    -1.437821     0.300000    
 0.986048    -0.006000    -1.509936     0.300000    
 0.985771    -0.006000    -1.509710     0.300000    
 1.056659    -0.006000    -1.557047     0.300000    
 1.132102    -0.006000    -1.596707     0.300000    
 1.211447    -0.006000    -1.628325     0.300000    
 1.211122    -0.006000    -1.628196     0.300000    
 1.284676    -0.006000    -1.649960     0.300000    
 1.359681    -0.006000    -1.665871     0.300000    
 1.435683    -0.006000    -1.675838     0.300000    
 1.512399    -0.006000    -1.679810     0.300000    
 1.512205    -0.006000    -1.679808     0.300000    
 1.604194    -0.006000    -1.677353     0.300000    
 1.695716    -0.006000    -1.667703     0.300000    
 1.786225    -0.006000    -1.650914     0.300000    
 1.875247    -0.006000    -1.627057     0.300000    
 1.875100    -0.006000    -1.627112     0.300000    
 1.957445    -0.006000    -1.598691     0.300000    
 2.037807    -0.006000    -1.565183     0.300000    
 2.115917    -0.006000    -1.526700     0.300000    
 2.191485    -0.006000    -1.483384     0.300000    
 2.264268    -0.006000    -1.435361     0.300000    
 2.264094    -0.006000    -1.435469     0.300000    
 2.330916    -0.006000    -1.385655     0.300000    
 2.395037    -0.006000    -1.332434     0.300000    
 2.456292    -0.006000    -1.275947     0.300000    
 2.514512    -0.006000    -1.216350     0.300000    
 2.569558    -0.006000    -1.153787     0.300000    
 2.621325    -0.006000    -1.088361     0.300000    
 2.621246    -0.006000    -1.088475     0.300000    
 2.667098    -0.006000    -1.024382     0.300000    
 2.710041    -0.006000    -0.958296     0.300000    
 2.749983    -0.006000    -0.890359     0.300000    
 2.786846    -0.006000    -0.820708     0.300000    
 2.820561    -0.006000    -0.749466     0.300000    
 2.851048    -0.006000    -0.676805     0.300000    
 2.878267    -0.006000    -0.602821     0.300000    
 2.878239    -0.006000    -0.602928     0.300000    
 2.901637    -0.006000    -0.529768     0.300000    
 2.921969    -0.006000    -0.455809     0.300000    
 2.939236    -0.006000    -0.381066     0.300000    
 2.953407    -0.006000    -0.305660     0.300000    
 2.964446    -0.006000    -0.229828     0.300000    
 2.972359    -0.006000    -0.153459     0.300000    
 2.977117    -0.006000    -0.076724     0.300000    
 2.978703    -0.006000    -0.000166     0.000000    
 2.988697     0.004000     0.000166     0.300000    
 2.987109     0.004000     0.077120     0.300000    
 2.982347     0.004000     0.153965     0.300000    
 2.974412     0.004000     0.230654     0.300000    
 2.963303     0.004000     0.307096     0.300000    
 2.949062     0.004000     0.382920     0.300000    
 2.931701     0.004000     0.458107     0.300000    
 2.911251     0.004000     0.532522     0.300000    
 2.887779     0.004000     0.605926     0.300000    
 2.887741     0.004000     0.606023     0.300000    
 2.860386     0.004000     0.680385     0.300000    
 2.829721     0.004000     0.753478     0.300000    
 2.795824     0.004000     0.825110     0.300000    
 2.758753     0.004000     0.895165     0.300000    
 2.718587     0.004000     0.963490     0.300000    
 2.675408     0.004000     1.029944     0.300000    
 2.629296     0.004000     1.094409     0.300000    
 2.629195     0.004000     1.094531     0.300000    
 2.577242     0.004000     1.160185     0.300000    
 2.521874     0.004000     1.223118     0.300000    
 2.463290     0.004000     1.283089     0.300000    
 2.401666     0.004000     1.339920     0.300000    
 2.337170     0.004000     1.393458     0.300000    
 2.269983     0.004000     1.443551     0.300000    
 2.269824     0.004000     1.443675     0.300000    
 2.196713     0.004000     1.491908     0.300000    
 2.120641     0.004000     1.535514     0.300000    
 2.041961     0.004000     1.574279     0.300000    
 1.960999     0.004000     1.608039     0.300000    
 1.878122     0.004000     1.636644     0.300000    
 1.877971     0.004000     1.636679     0.300000    
 1.788435     0.004000     1.660666     0.300000    
 1.697188     0.004000     1.677595     0.300000    
 1.604874     0.004000     1.687329     0.300000    
 1.512071     0.004000     1.689808     0.300000    
 1.511865     0.004000     1.689796     0.300000    
 1.434727     0.004000     1.685792     0.300000    
 1.357977     0.004000     1.675725     0.300000    
 1.282274     0.004000     1.659668     0.300000    
 1.208096     0.004000     1.637728     0.300000    
 1.207767     0.004000     1.637623     0.300000    
 1.127770     0.004000     1.605721     0.300000    
 1.051387     0.004000     1.565545     0.300000    
 0.979633     0.004000     1.517604     0.300000    
 0.979360     0.004000     1.517371     0.300000    
 0.896575     0.004000     1.444705     0.300000    
 0.826066     0.004000     1.359756     0.300000    
 0.825750     0.004000     1.359256     0.300000    
 0.775744     0.004000     1.274812     0.300000    
 0.739569     0.004000     1.183526     0.300000    
 0.739462     0.004000     1.183127     0.300000    
 0.720143     0.004000     1.098270     0.300000    
 0.713650     0.004000     1.011610     0.300000    
 0.713650     0.004000    -1.011610     0.300000    
 0.720143     0.004000    -1.098270     0.300000    
 0.739462     0.004000    -1.183127     0.300000    
 0.739569     0.004000    -1.183526     0.300000    
 0.775744     0.004000    -1.274812     0.300000    
 0.825750     0.004000    -1.359256     0.300000    
 0.826066     0.004000    -1.359756     0.300000    
 0.896575     0.004000    -1.444705     0.300000    
 0.979360     0.004000    -1.517371     0.300000    
 0.979633     0.004000    -1.517604     0.300000    
 1.051387     0.004000    -1.565545     0.300000    
 1.127770     0.004000    -1.605721     0.300000    
 1.207767     0.004000    -1.637623     0.300000    
 1.208096     0.004000    -1.637728     0.300000    
 1.282274     0.004000    -1.659668     0.300000    
 1.357977     0.004000    -1.675725     0.300000    
 1.434727     0.004000    -1.685792     0.300000    
 1.511865     0.004000    -1.689796     0.300000    
 1.512071     0.004000    -1.689808     0.300000    
 1.604874     0.004000    -1.687329     0.300000    
 1.697188     0.004000    -1.677595     0.300000    
 1.788435     0.004000    -1.660666     0.300000    
 1.877971     0.004000    -1.636679     0.300000    
 1.878122     0.004000    -1.636644     0.300000    
 1.960999     0.004000    -1.608039     0.300000    
 2.041961     0.004000    -1.574279     0.300000    
 2.120641     0.004000    -1.535514     0.300000    
 2.196713     0.004000    -1.491908     0.300000    
 2.269824     0.004000    -1.443675     0.300000    
 2.269983     0.004000    -1.443551     0.300000    
 2.337170     0.004000    -1.393458     0.300000    
 2.401666     0.004000    -1.339920     0.300000    
 2.463290     0.004000    -1.283089     0.300000    
 2.521874     0.004000    -1.223118     0.300000    
 2.577242     0.004000    -1.160185     0.300000    
 2.629195     0.004000    -1.094531     0.300000    
 2.629296     0.004000    -1.094409     0.300000    
 2.675408     0.004000    -1.029944     0.300000    
 2.718587     0.004000    -0.963490     0.300000    
 2.758753     0.004000    -0.895165     0.300000    
 2.795824     0.004000    -0.825110     0.300000    
 2.829721     0.004000    -0.753478     0.300000    
 2.860386     0.004000    -0.680385     0.300000    
 2.887741     0.004000    -0.606023     0.300000    
 2.887779     0.004000    -0.605926     0.300000    
 2.911251     0.004000    -0.532522     0.300000    
 2.931701     0.004000    -0.458107     0.300000    
 2.949062     0.004000    -0.382920     0.300000    
 2.963303     0.004000    -0.307096     0.300000    
 2.974412     0.004000    -0.230654     0.300000    
 2.982347     0.004000    -0.153965     0.300000    
 2.987109     0.004000    -0.077120     0.300000    
 2.988697     0.004000     0.000166     0.000000    
 2.988697    -0.006000     0.000166     0.300000    
 2.987109    -0.006000     0.077120     0.300000    
 2.982347    -0.006000     0.153965     0.300000    
 2.974412    -0.006000     0.230654     0.300000    
 2.963303    -0.006000     0.307096     0.300000    
 2.949062    -0.006000     0.382920     0.300000    
 2.931701    -0.006000     0.458107     0.300000    
 2.911251    -0.006000     0.532522     0.300000    
 2.887779    -0.006000     0.605926     0.300000    
 2.887741    -0.006000     0.606023     0.300000    
 2.860386    -0.006000     0.680385     0.300000    
 2.829721    -0.006000     0.753478     0.300000    
 2.795824    -0.006000     0.825110     0.300000    
 2.758753    -0.006000     0.895165     0.300000    
 2.718587    -0.006000     0.963490     0.300000    
 2.675408    -0.006000     1.029944     0.300000    
 2.629296    -0.006000     1.094409     0.300000    
 2.629195    -0.006000     1.094531     0.300000    
 2.577242    -0.006000     1.160185     0.300000    
 2.521874    -0.006000     1.223118     0.300000    
 2.463290    -0.006000     1.283089     0.300000    
 2.401666    -0.006000     1.339920     0.300000    
 2.337170    -0.006000     1.393458     0.300000    
 2.269983    -0.006000     1.443551     0.300000    
 2.269824    -0.006000     1.443675     0.300000    
 2.196713    -0.006000     1.491908     0.300000    
 2.120641    -0.006000     1.535514     0.300000    
 2.041961    -0.006000     1.574279     0.300000    
 1.960999    -0.006000     1.608039     0.300000    
 1.878122    -0.006000     1.636644     0.300000    
 1.877971    -0.006000     1.636679     0.300000    
 1.788435    -0.006000     1.660666     0.300000    
 1.697188    -0.006000     1.677595     0.300000    
 1.604874    -0.006000     1.687329     0.300000    
 1.512071    -0.006000     1.689808     0.300000    
 1.511865    -0.006000     1.689796     0.300000    
 1.434727    -0.006000     1.685792     0.300000    
 1.357977    -0.006000     1.675725     0.300000    
 1.282274    -0.006000     1.659668     0.300000    
 1.208096    -0.006000     1.637728     0.300000    
 1.207767    -0.006000     1.637623     0.300000    
 1.127770    -0.006000     1.605721     0.300000    
 1.051387    -0.006000     1.565545     0.300000    
 0.979633    -0.006000     1.517604     0.300000    
 0.979360    -0.006000     1.517371     0.300000    
 0.896575    -0.006000     1.444705     0.300000    
 0.826066    -0.006000     1.359756     0.300000    
 0.825750    -0.006000     1.359256     0.300000    
 0.775744    -0.006000     1.274812     0.300000    
 0.739569    -0.006000     1.183526     0.300000    
 0.739462    -0.006000     1.183127     0.300000    
 0.720143    -0.006000     1.098270     0.300000    
 0.713650    -0.006000     1.011610     0.300000    
 0.713650    -0.006000    -1.011610     0.300000    
 0.720143    -0.006000    -1.098270     0.300000    
 0.739462    -0.006000    -1.183127     0.300000    
 0.739569    -0.006000    -1.183526     0.300000    
 0.775744    -0.006000    -1.274812     0.300000    
 0.825750    -0.006000    -1.359256     0.300000    
 0.826066    -0.006000    -1.359756     0.300000    
 0.896575    -0.006000    -1.444705     0.300000    
 0.979360    -0.006000    -1.517371     0.300000    
 0.979633    -0.006000    -1.517604     0.300000    
 1.051387    -0.006000    -1.565545     0.300000    
 1.127770    -0.006000    -1.605721     0.300000    
 1.207767    -0.006000    -1.637623     0.300000    
 1.208096    -0.006000    -1.637728     0.300000    
 1.282274    -0.006000    -1.659668     0.300000    
 1.357977    -0.006000    -1.675725     0.300000    
 1.434727    -0.006000    -1.685792     0.300000    
 1.511865    -0.006000    -1.689796     0.300000    
 1.512071    -0.006000    -1.689808     0.300000    
 1.604874    -0.006000    -1.687329     0.300000    
 1.697188    -0.006000    -1.677595     0.300000    
 1.788435    -0.006000    -1.660666     0.300000    
 1.877971    -0.006000    -1.636679     0.300000    
 1.878122    -0.006000    -1.636644     0.300000    
 1.960999    -0.006000    -1.608039     0.300000    
 2.041961    -0.006000    -1.574279     0.300000    
 2.120641    -0.006000    -1.535514     0.300000    
 2.196713    -0.006000    -1.491908     0.300000    
 2.269824    -0.006000    -1.443675     0.300000    
 2.269983    -0.006000    -1.443551     0.300000    
 2.337170    -0.006000    -1.393458     0.300000    
 2.401666    -0.006000    -1.339920     0.300000    
 2.463290    -0.006000    -1.283089     0.300000    
 2.521874    -0.006000    -1.223118     0.300000    
 2.577242    -0.006000    -1.160185     0.300000    
 2.629195    -0.006000    -1.094531     0.300000    
 2.629296    -0.006000    -1.094409     0.300000    
 2.675408    -0.006000    -1.029944     0.300000    
 2.718587    -0.006000    -0.963490     0.300000    
 2.758753    -0.006000    -0.895165     0.300000    
 2.795824    -0.006000    -0.825110     0.300000    
 2.829721    -0.006000    -0.753478     0.300000    
 2.860386    -0.006000    -0.680385     0.300000    
 2.887741    -0.006000    -0.606023     0.300000    
 2.887779    -0.006000    -0.605926     0.300000    
 2.911251    -0.006000    -0.532522     0.300000    
 2.931701    -0.006000    -0.458107     0.300000    
 2.949062    -0.006000    -0.382920     0.300000    
 2.963303    -0.006000    -0.307096     0.300000    
 2.974412    -0.006000    -0.230654     0.300000    
 2.982347    -0.006000    -0.153965     0.300000    
 2.987109    -0.006000    -0.077120     0.300000    
 2.988697    -0.006000     0.000166     0.000000    
